position,player,team,age,total_value,avg_year,total_guaranteed,fully_guaranteed,free_agency,MAX,MIN,sum,sumif,sumifs,If,ifs,len,left,right,trim,concatenate,substitute,substitute,xlookup,vlookup
3-4-defensive-end,Michael Brockers,Rams,29,33250000,11083333,24396000,18146000,2020 UFA,,,,,,Young,#N/A,16,Michae,Rams,Michael Brockers,Ravens - Brandon Williams,Ravens - Brandon Williams,,,
3-4-defensive-end,Brandon Williams,Ravens,30,52500000,10500000,27500000,24500000,2022 UFA,,,,,,Young,Thirty,16,Brando,avens,Brandon Williams,Steelers - Cameron Heyward,Steelers - Cameron Heyward,,,
3-4-defensive-end,Cameron Heyward,Steelers,30,52281000,10456200,16000000,16000000,2021 UFA,,,,,,Young,Thirty,15,Camero,elers,Cameron Heyward,Packers - Mike Daniels,Packers - Mike Daniels,,,
3-4-defensive-end,Mike Daniels,Packers,30,41000000,10250000,12000000,12000000,2020 UFA,,,,,,Young,Thirty,12,Mike D,ckers,Mike Daniels,Broncos - Derek Wolfe,Broncos - Derek Wolfe,,,
3-4-defensive-end,Derek Wolfe,Broncos,29,36700000,9175000,17500000,12000000,2020 UFA,,,,,,Young,#N/A,11,Derek ,oncos,Derek Wolfe,Jets - Henry Anderson,Jets - Henry Anderson,,,
3-4-defensive-end,Henry Anderson,Jets,28,25200000,8400000,17000000,17000000,2022 UFA,,,,,,Young,#N/A,14,Henry ,Jets,Henry Anderson,49ers - Kwon Alexander,49ers - Kwon Alexander,,,
linebacker,Kwon Alexander,49ers,25,54000000,13500000,27500000,14250000,2023 UFA,,,,,,Young,#N/A,14,Kwon A,49ers,Kwon Alexander,Packers - Preston Smith,Packers - Preston Smith,,,
linebacker,Preston Smith,Packers,27,52000000,13000000,16000000,16000000,2023 UFA,,,,,,Young,#N/A,13,Presto,ckers,Preston Smith,Panthers - Luke Kuechly,Panthers - Luke Kuechly,,,
linebacker,Luke Kuechly,Panthers,28,61795295,12359059,34363324,27000000,2022 UFA,,,,,,Young,#N/A,12,Luke K,thers,Luke Kuechly,Redskins - Ryan Kerrigan,Redskins - Ryan Kerrigan,,,
linebacker,Ryan Kerrigan,Redskins,31,57500000,11500000,23788000,23788000,2021 UFA,,,,,,old,#N/A,13,Ryan K,skins,Ryan Kerrigan,Panthers - Kawann Short,Panthers - Kawann Short,,,
