Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
116,Mohamed Elneny,eg EGY,MF,Arsenal,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,47a34c4f
117,Mohamed Elyounoussi,no NOR,FWMF,Southampton,28,6,6,435,4.8,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.3,1.1,0.16,0.07,0.23,0.16,0.23,Matches,68dc0dac
118,Emerson,br BRA,DF,Tottenham,23,7,6,563,6.3,0,1,0,0,0,0,0,0,0.16,0.16,0,0.16,0.3,0.3,0.2,0.5,0.05,0.03,0.08,0.05,0.08,Matches,df8b52a5
119,Christian Eriksen,dk DEN,MFFW,Manchester Utd,30,6,6,530,5.9,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,1,1,1.3,2.3,0.17,0.22,0.39,0.17,0.39,Matches,980522ec
120,Pervis Estupiñán,ec ECU,DF,Brighton,24,4,2,170,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.01,0.54,0.55,0.01,0.55,Matches,d38fdf53
121,Jonny Evans,nir NIR,DF,Leicester City,34,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f8fcd2a5
122,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24,6,6,478,5.3,0,2,0,0,0,0,0,0,0.38,0.38,0,0.38,0.7,0.7,0.9,1.6,0.13,0.17,0.3,0.13,0.3,Matches,ae4fc6a4
123,Łukasz Fabiański,pl POL,GK,West Ham,37,7,7,568,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9328b835
124,Fabinho,br BRA,MF,Liverpool,28,6,5,450,5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.04,0.1,0.14,0.04,0.14,Matches,7f3b388c
125,Wout Faes,be BEL,DF,Leicester City,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0.08,0,0.08,Matches,9c221d14
